,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
90,"Detroit-Warren-Livonia, MI M.S.A.",0.45442712430734516,0.6116413496437687,0.30398853928265673,0.5273879847766705,0.43741523682591316,0.26088076061203636,0.2893657719783355,0.21212108114375028,0.6507963223713291
91,"Detroit-Livonia-Dearborn, MI M.D.",0.7947110804695028,1.2232826992875374,0.36600918953860107,1.0159588129538406,0.7484708031450463,0.3671766499560789,0.45490740654311285,0.2562335198090274,1.1900705667921467
92,"Warren-Troy-Farmington Hills, MI M.D.",0.19252719840027907,0.13442667025137775,0.2559443735914323,0.15147446823414054,0.19800251654811352,0.17906979911040732,0.16198738997099874,0.17816594463799956,0.235769988108873
93,"Dothan, AL M.S.A.",0.3176841810156165,0.22852533942734218,0.37299743182096107,0.2813514207663035,0.321062145112425,0.29752414847009406,0.3607019740777094,0.28337474648060273,0.1789826723426616
94,"Dover, DE M.S.A.",0.39928653368081657,0.24868933996504886,0.3834797952445009,0.3306754768964957,0.423044086431292,0.3015298083879754,0.2502331799862281,0.3228598284674473,0.23713835716348053
95,"Dubuque, IA M.S.A.",0.30237926999865533,0.0,0.21314138961197773,0.11148987835345223,0.38355003608755545,0.18966313372767404,0.21117239091520715,0.18820883413239983,0.10440655886655259
96,"Durham-Chapel Hill, NC M.S.A.",0.3053830375814234,0.477214679392391,0.20702667761491278,0.44420836349202675,0.25974523676204136,0.3352551658422786,0.44259320557678916,0.2994942197450326,0.27750524427440193
97,"Eau Claire, WI M.S.A.",0.10863626091011291,0.2890173410404622,0.23847376788553246,0.05078334773167718,0.10954010189677893,0.18055534186140967,0.1642850834457647,0.19256922792553816,0.09496481238976082
98,"El Centro, CA M.S.A.",0.2608986700461434,0.12098400322623998,0.1336501336501336,0.18095215858413707,0.3041361235365378,0.301282217929475,0.39990636899090326,0.23405017529291544,0.6187764864935135
99,"Elizabethtown, KY M.S.A.",0.14253592362992432,0.0,0.18431489019724306,0.09748067897919643,0.15414389460304753,0.14692725208723165,0.12414725055844718,0.15923700481880718,0.08648092425119429
100,"Elkhart-Goshen, IN M.S.A.",0.08246057197456233,0.06721333512568888,0.2367267073149425,0.22560648158957736,0.010538843622722172,0.22640378926585694,0.2659580197041575,0.2135321706803053,0.1914348307395899
101,"Elmira, NY M.S.A.",0.16670910084362947,0.30918134157816884,0.11006481594716883,0.13075252749305388,0.18214102463108722,0.19061812549617552,0.164500492209024,0.20891752652022014,0.07389192894880524
102,"El Paso, TX M.S.A.",0.3233341248022518,0.06049200161311999,0.25681790387672726,0.2045926825281937,0.37439508102135227,0.24293929488713303,0.1282041155998308,0.2735988198714967,0.3258086719020468
103,"Erie, PA M.S.A.",0.1935284542612018,0.30918134157816884,0.4123062946592356,0.22589833990987437,0.15041804079703464,0.21974537443547143,0.2291949241079025,0.22456663660579823,0.10974319817952186
104,"Evansville, IN-KY M.S.A.4",0.0,0.15459067078908442,0.22973846503258258,0.14184314366433973,0.0,0.2427270744941327,0.18697480650907833,0.26898417571141153,0.14805753170853198
105,"Fairbanks, AK M.S.A.2",0.56005961763469,0.0,1.6876605111899219,0.2591701884237318,0.5335422650210457,0.3584844563594402,0.15839724391667698,0.42345398614996543,0.38574323649385545
106,"Fargo, ND-MN M.S.A.3",0.0,0.06721333512568888,0.0,0.06450068878563597,0.1568052187501996,0.19676367437681022,0.12852722874471975,0.2226597588536969,0.1581834627126275
107,"Farmington, NM M.S.A.",0.4619365432642655,0.21508267240220444,0.653400653400653,0.0805528964019707,0.575165374682504,0.19390754158768073,0.18155368596705246,0.19746354748926484,0.18322461641194485
108,"Fayetteville, NC M.S.A.",0.3425010227113434,0.42344401129183995,0.18518842048253803,0.49265684466132814,0.30072962862818314,0.4617031500049779,0.6280960522035955,0.4046140339592045,0.3955954936870296
109,"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",0.23186225007938516,0.05377066810055111,0.5075210957563896,0.05049148941138019,0.26389690243159863,0.0,0.0,0.20548514656643777,0.13847894832627947
110,"Flagstaff, AZ M.S.A.",0.28814713311839685,0.3226240086033066,0.42366218836807046,0.1368815522192908,0.32233958070305796,0.3104519074103645,0.14834483496457598,0.3832824281723644,0.11302728391057987
