,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All,Burglary,Larceny,Car Theft
105,"Iowa City, IA M.S.A.",0.3578396964075984,0.07942110836569008,0.3371246731150951,0.12959851887406998,0.44110704214569174,0.2774979337289086,0.24162045825663975,0.2905633554954182,0.24447604033966722
106,"Jackson, MI M.S.A.",0.396845512054429,0.16766678432756793,0.6301395759160655,0.23999725717420367,0.4210741218052597,0.3680901435030285,0.36139688840933426,0.3744913734242218,0.31819979585914526
107,"Jackson, TN M.S.A.4",0.9064126763745888,0.5030003529827038,0.4978102649736917,0.6017074090581821,1.0544716795753535,0.45614933132621505,0.5798410161426505,0.40503436326582926,0.5687261140074018
108,"Jacksonville, FL  M.S.A.",0.8043445949022655,0.785386516060713,0.5072623586124327,0.7093633215620392,0.8575876280767124,0.4896067370951089,0.5306033346989094,0.4698678648487112,0.5375783875113306
109,"Jacksonville, NC M.S.A.",0.2671125128766442,0.2912107306741969,0.4694539840574688,0.26056845064627826,0.2383534725855228,0.3690779242638173,0.4638151125061786,0.3540241384337334,0.2579211021365325
110,"Jamestown, NY M.S.A.",0.1726050300319004,0.18531591951994353,0.27096001764390815,0.08845613192992079,0.1878245779688916,0.24060774531608542,0.2543145480038542,0.2539117676854892,0.09142642021868398
111,"Janesville-Beloit, WI M.S.A.",0.2008713589918283,0.22943875750088247,0.31927071846413985,0.19336921863750123,0.18425182784448335,0.3457037062609946,0.27345184997124583,0.38643402563195145,0.16907165209558106
112,"Jersey City, NJ M.S.A.",0.5987478617681999,0.4059301094246381,0.18799164014829287,1.0371310042170945,0.47466537367138373,0.34258388385810734,0.3698115312341923,0.2633148904007706,0.9138160334602777
113,"Johnstown, PA M.S.A.",0.17080079626850073,0.11471937875044123,0.14493210246069507,0.07885624164295263,0.20517793571601747,0.14691527315414338,0.1821890380764991,0.13922112493194744,0.12212597798819307
114,"Jonesboro, AR M.S.A.",0.25757584869867467,0.22061418990469467,0.38753583918838025,0.3116535811019302,0.21640657896415771,0.40882387487614846,0.3946707903224873,0.42202862008556413,0.31943225985719126
115,"Joplin, MO M.S.A.4",0.21444607016407333,0.22943875750088247,0.3014167638131846,0.15634107038776696,0.22036212374475259,0.45917135365377665,0.4311662983457291,0.4821399695311368,0.3205526816735967
116,"Kalamazoo-Battle Creek, MI M.S.A.",0.5368025025581451,0.46770208259795265,0.7813730741359213,0.38365275825419126,0.55275548353345,0.4436015816619382,0.46607504515056897,0.4443078436868805,0.3695151150505145
117,"Kenosha, WI M.S.A.",0.35698053747264613,0.0,0.23210141046241745,0.20194054925086563,0.4268160416480588,0.26964458768026145,0.23868735418626064,0.2837821253912591,0.21657753711117178
118,"Killeen-Temple, TX M.S.A.",0.32304375954203357,0.45887751500176494,0.3339739752355147,0.25473994582919046,0.33775248497530985,0.34312178427239826,0.38981433932071213,0.34610355185458397,0.19775445059556032
119,"Knoxville, TN M.S.A.4",0.4539795812287514,0.49417578538651596,0.3434260688742557,0.38125278568244925,0.48334205254494667,0.34116578276588594,0.34504843949246705,0.3246891409993446,0.4542190043707657
120,"Kokomo, IN M.S.A.",0.25602936261576065,0.4324038122132016,0.18379070964218577,0.1703980525936846,0.28824437610850967,0.3118746602058633,0.2701340765145875,0.33856732649591315,0.18005178589635434
121,"La Crosse, WI-MN M.S.A.7",0.1033568198747517,0.1411930815390046,0.19324280328092674,0.07988480131655637,0.09825062842122728,0.26958590763506607,0.10410115266181594,0.3306192855438724,0.1473354688573155
122,"Lafayette, IN M.S.A.",0.14597110304838168,0.0,0.35077769725994307,0.12411286728151677,0.1279810133850532,0.3164517037311022,0.24859259088295077,0.3543810452813207,0.15349778884754542
123,"Lafayette, LA M.S.A.",0.5295855675045466,0.2735615954818214,0.4337460747555584,0.2917680940789247,0.6212757269908514,0.397518186168507,0.4430429656471002,0.3960293289574722,0.2892929129958849
124,"Lake Charles, LA M.S.A.",0.5575082328904936,0.7147899752912107,0.6143860865181638,0.5331367641512667,0.5445891975348026,0.5028977673318604,0.705579821782673,0.46666943040687087,0.30834008387477735
125,"Lakeland-Winter Haven, FL M.S.A.",0.5213376417290052,0.45887751500176494,0.6343405064221725,0.4549662289573832,0.5212387235074201,0.5129516150753339,0.6863944361419966,0.463004271625878,0.49802749739221847
126,"Lancaster, PA M.S.A.",0.2078305463649413,0.22943875750088247,0.20269489691966774,0.34902458257619906,0.15069349631879142,0.23112113800950052,0.18238137276963873,0.24962888551444135,0.18531776843345996
127,"Lansing-East Lansing, MI M.S.A.",0.36282281823032125,0.37063183903988706,0.6217377149038513,0.1985120170055199,0.38407063837388844,0.31964976619424995,0.27917380709214934,0.34046167822541507,0.23259956908576954
128,"Laredo, TX M.S.A.",0.43353159857688867,0.44122837980938934,0.34447630150078246,0.3123392875509993,0.47938650776435177,0.6158568543329492,0.4419370411615475,0.6824470741462991,0.45545146836881173
129,"Las Vegas, NV-AZ M.S.A.",0.4930713127690773,0.7236145428873985,0.42849491162292447,0.9119895772619738,0.33035178828903555,0.3939778234417196,0.4634304431198993,0.31093450018078694,0.8957772422161501
130,"Lawrence, MA-NH M.S.A.",0.23540954817690743,0.09707024355806565,0.24890513248684584,0.18514074124867141,0.24907172295874758,0.21801592791586769,0.1889688360096705,0.1616650747706118,0.7377977661029829
131,"Lawton, OK M.S.A.",0.5167840993737585,0.4059301094246381,0.6133358538916371,0.38502417115232956,0.5438236082224294,0.4377531371574662,0.5951316242472499,0.4104566019118675,0.27820073701347103
132,"Lewiston-Auburn, ME M.S.A.",0.14914999110770485,0.0,0.4379470052616656,0.14639832687626425,0.11381761110614899,0.3303686544499377,0.381928616901988,0.3364396125968349,0.14890405940028312
133,"Lima, OH M.S.A.",0.29151262662928723,0.4500529474055771,0.5944316666141551,0.31062502142832643,0.2386086690229805,0.34957658924388907,0.4032777678404851,0.356138125146366,0.15842764483972935
134,"Lincoln, NE M.S.A.",0.43146961713300336,0.10589481115425345,0.426394446369871,0.21051187986423006,0.5091168927281776,0.5620179128661965,0.4237133289865691,0.6369551782653612,0.25243103523614585
135,"Little Rock-North Little Rock, AR M.S.A.",0.4907515836447064,0.785386516060713,0.491508869214531,0.4570233483045907,0.48768039198172813,0.5516119848515507,0.4878088654753453,0.5715039532924243,0.5180830479058759
136,"Longview-Marshall, TX M.S.A.",0.32261418007455744,0.8030356512530885,0.4999107302267453,0.3308533616758665,0.2837784384529993,0.416266460608428,0.4982911062514543,0.3986100400092575,0.3542773783474004
